customer_id,loyalty_tier,home_store_id,preferred_channel,lifetime_value_band
CUST0001,Bronze,ST008,app_push,low
CUST0002,Bronze,ST008,email,low
CUST0003,Platinum,ST007,app_push,low
CUST0004,Bronze,ST007,sms,low
CUST0005,Silver,ST003,email,high
CUST0006,Bronze,ST008,email,medium
CUST0007,Bronze,ST004,sms,low
CUST0008,Silver,ST008,app_push,low
CUST0009,Platinum,ST006,email,high
CUST0010,Bronze,ST006,app_push,medium
CUST0011,Silver,ST007,email,medium
CUST0012,Bronze,ST004,email,high
CUST0013,Gold,ST007,email,high
CUST0014,Gold,ST001,email,high
CUST0015,Bronze,ST001,email,low
CUST0016,Bronze,ST003,sms,medium
CUST0017,Silver,ST008,sms,low
CUST0018,Bronze,ST006,sms,medium
CUST0019,Silver,ST007,sms,low
CUST0020,Bronze,ST006,app_push,low
CUST0021,Bronze,ST004,sms,low
CUST0022,Silver,ST001,app_push,low
CUST0023,Bronze,ST002,email,high
CUST0024,Gold,ST006,sms,high
CUST0025,Silver,ST003,app_push,low
CUST0026,Gold,ST003,app_push,medium
CUST0027,Silver,ST008,sms,low
CUST0028,Bronze,ST001,sms,medium
CUST0029,Bronze,ST003,email,medium
CUST0030,Gold,ST007,app_push,high
CUST0031,Gold,ST002,email,low
CUST0032,Bronze,ST001,email,medium
CUST0033,Platinum,ST005,sms,medium
CUST0034,Platinum,ST001,sms,high
CUST0035,Platinum,ST008,email,medium
CUST0036,Bronze,ST004,email,low
CUST0037,Bronze,ST002,app_push,low
CUST0038,Gold,ST003,email,high
CUST0039,Silver,ST007,email,low
CUST0040,Platinum,ST001,app_push,medium
CUST0041,Silver,ST005,app_push,high
CUST0042,Gold,ST001,app_push,high
CUST0043,Bronze,ST006,email,medium
CUST0044,Silver,ST002,email,medium
CUST0045,Bronze,ST001,email,low
CUST0046,Silver,ST004,app_push,low
CUST0047,Gold,ST005,sms,medium
CUST0048,Bronze,ST008,sms,high
CUST0049,Bronze,ST004,email,medium
CUST0050,Bronze,ST003,email,low
CUST0051,Bronze,ST007,sms,medium
CUST0052,Silver,ST008,app_push,low
CUST0053,Bronze,ST002,sms,medium
CUST0054,Bronze,ST003,sms,high
CUST0055,Bronze,ST006,email,low
CUST0056,Silver,ST006,email,low
CUST0057,Bronze,ST001,app_push,low
CUST0058,Silver,ST001,sms,high
CUST0059,Silver,ST008,sms,low
CUST0060,Silver,ST004,sms,high
CUST0061,Gold,ST003,email,low
CUST0062,Silver,ST006,sms,medium
CUST0063,Silver,ST003,email,low
CUST0064,Bronze,ST005,app_push,low
CUST0065,Silver,ST004,sms,medium
CUST0066,Bronze,ST004,app_push,low
CUST0067,Platinum,ST001,sms,low
CUST0068,Bronze,ST005,email,medium
CUST0069,Platinum,ST008,sms,low
CUST0070,Silver,ST002,sms,low
CUST0071,Silver,ST004,sms,low
CUST0072,Silver,ST008,app_push,medium
CUST0073,Silver,ST004,app_push,low
CUST0074,Bronze,ST006,app_push,high
CUST0075,Gold,ST007,app_push,medium
CUST0076,Bronze,ST007,app_push,medium
CUST0077,Bronze,ST004,sms,low
CUST0078,Platinum,ST001,app_push,low
CUST0079,Gold,ST002,app_push,high
CUST0080,Silver,ST002,app_push,low
CUST0081,Platinum,ST007,app_push,medium
CUST0082,Platinum,ST005,email,low
CUST0083,Gold,ST008,email,low
CUST0084,Bronze,ST003,sms,low
CUST0085,Gold,ST007,app_push,low
CUST0086,Silver,ST006,sms,high
CUST0087,Platinum,ST001,app_push,low
CUST0088,Silver,ST004,email,low
CUST0089,Bronze,ST004,sms,high
CUST0090,Bronze,ST004,email,low
CUST0091,Bronze,ST004,email,medium
CUST0092,Gold,ST006,app_push,low
CUST0093,Silver,ST005,email,low
CUST0094,Gold,ST001,email,low
CUST0095,Bronze,ST001,sms,low
CUST0096,Silver,ST007,sms,low
CUST0097,Bronze,ST007,app_push,high
CUST0098,Bronze,ST008,email,medium
CUST0099,Bronze,ST003,sms,low
CUST0100,Bronze,ST003,app_push,medium
CUST0101,Gold,ST004,sms,low
CUST0102,Gold,ST006,sms,medium
CUST0103,Bronze,ST005,app_push,medium
CUST0104,Platinum,ST007,email,low
CUST0105,Bronze,ST005,sms,low
CUST0106,Bronze,ST006,email,medium
CUST0107,Platinum,ST001,email,low
CUST0108,Gold,ST001,sms,medium
CUST0109,Silver,ST002,app_push,medium
